time,seconds_elapsed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
1783086948726040000,0.0590400390625,0.0529498652253299,-0.1568080799110233,-0.0099900636166334,-0.0318743214011192,-0.1590968072414398,-0.1142468303442001,standing
1783086948736084200,0.069084228515625,-0.0298536517981439,-0.1947100136082619,-0.0194335992664098,0.0113988500088453,-0.1029488518834114,-0.151127353310585,standing
1783086948746128100,0.079128173828125,-0.059852557285875,-0.2195643227491527,-0.0699830522865057,0.0392131693661212,-0.0548612177371978,-0.1678245812654495,standing
1783086948756173000,0.089173095703125,-0.1307387689571827,-0.2586004481080919,0.0479021533817052,0.0335558168590068,-0.01688027754426,-0.1670506596565246,standing
1783086948766217200,0.09921728515625,-0.0963921896539628,-0.2708905322954058,0.1793319002777338,-0.0007097672205418,0.0131173133850097,-0.1657801270484924,standing
1783086948776261000,0.10926123046875,-0.0495119266659021,-0.221025554408133,0.2671393630683422,-0.0460958927869796,0.0683938860893249,-0.1701897978782653,standing
1783086948786306000,0.11930615234375,-0.0520342847503721,-0.1563950421307235,0.3283101633459329,-0.1104335337877273,0.1085542514920234,-0.1743463277816772,standing
1783086948796350200,0.12935009765625,0.0484472931090742,-0.1554340150788426,0.3854425018876791,-0.1852526366710662,0.1235217452049255,-0.1738613694906234,standing
1783086948807023400,0.1400234375,0.1634085010893642,-0.1553003056965768,0.2852583726048469,-0.244340032339096,0.108174942433834,-0.1640512198209762,standing
1783086948817068000,0.150068115234375,0.2527056909810751,-0.1054169153697788,0.1812128917187452,-0.249475672841072,0.0947680547833442,-0.1349572539329528,standing
1783086948827112200,0.1601123046875,0.3076797555103898,0.0197755445718765,0.0498801754564046,-0.2054736763238906,0.1108518466353416,-0.0847630947828292,standing
1783086948837156400,0.17015625,0.2722960882443934,0.1534995398849248,0.0206681094974279,-0.1346487700939178,0.0927266404032707,-0.0310021247714757,standing
1783086948847201000,0.180200927734375,0.3310379808746278,0.2246107194185256,-0.1013987657696008,-0.0471120811998844,0.0739685073494911,0.0218989886343479,standing
1783086948857245200,0.1902451171875,0.3789524822812527,0.2380924245432019,-0.262507027092576,0.0098598571494221,0.048171266913414,0.0662566050887107,standing
1783086948867289300,0.200289306640625,0.4069763613689691,0.2099213920697569,-0.281475931456685,0.0272278692573308,-7.94529914855e-05,0.1030812039971351,standing
1783086948877334000,0.210333984375,0.4756103371340781,0.2216125605158507,-0.2616419346958398,0.0241444613784551,-0.0205035023391246,0.1411971598863601,standing
1783086948887378200,0.220378173828125,0.4357226364471018,0.2527053256548941,-0.1691366694778203,0.00803679600358,-0.0232118386775255,0.1710372269153595,standing
1783086948897422300,0.23042236328125,0.3381277930051088,0.2304438094861805,0.0275812498867511,-0.0293081793934106,-0.0329438298940658,0.1941228508949279,standing
1783086948907467000,0.240467041015625,0.2899092671506106,0.2126933410011231,0.2090899096816778,-0.0793428048491478,-0.0444407165050506,0.2166626304388046,standing
1783086948917511200,0.25051123046875,0.2550434862788766,0.224153038778901,0.3025309944450855,-0.1182963252067565,-0.0523529686033725,0.2332099229097366,standing
1783086948927555000,0.26055517578125,0.1809959610324353,0.2305915473937988,0.2356499998271465,-0.136911541223526,-0.0716284736990928,0.247790977358818,standing
